"id","desc"
"AG","Agregat"
"AL","Aldea"
"AR","Àrea"
"AU","Autopista"
"AV","Avinguda"
"AY","Torrent"
"BJ","Baaixada"
"BO","Barri"
"BR","Barranc"
"CA","Canyada"
"CG","Col·legi"
"CH","Xalet"
"CI","Cinturó"
"CJ","Carreró"
"CL","Carrer"
"CM","Camí"
"CN","Colònia"
"CO","Col·legi"
"CP","Camp"
"CR","Carretera"
"CS","Caserio"
"CT","Costa"
"CU","Conjunt"
"DE","Darrera"
"DP","Diputació"
"DS","Disseminat"
"ED","Edifici"
"EM","Extramurs"
"EN","Eixample"
"ER","Extrarradi"
"ES","Escales"
"EX","Explanada"
"FC","Ferrocarril"
"FN","Finca"
"GL","Glorieta"
"GR","Grup"
"GV","Gran Via"
"HT","Horta"
"JR","Jardins"
"LD","Ladera"
"LG","Lloc"
"MC","Mercat"
"ML","Moll"
"MN","Municipi"
"MS","Mas"
"MT","Muntanya"
"MZ","Illa"
"PB","Poblat"
"PD","Partida"
"PJ","Passatge"
"PL","Polígon"
"PM","Pàram"
"PQ","Parròquia"
"PR","Perllongació"
"PS","Passeig"
"PT","Pont"
"PZ","Plaça"
"QT","Quinta"
"RB","Rambla"
"RC","Racó"
"RD","Ronda"
"RM","Ramal"
"RP","Rampa"
"RR","Riera"
"RU","Rua"
"SA","Sortida"
"SD","Senda"
"SL","Solar"
"SN","Saló"
"SU","Pujada"
"TN","Terreny"
"TO","Torrent"
"TR","Travessera"
"UR","Urbanització"
"VR","Vereda"
"CY","Caleya"
